Origin,Destination,Airline,Flight,Origin Airport,Origin city,Origin temperature,Origin humidity,Origin cloudiness,Origin wind speed,Origin current description,Destination Airport,Destination city,Destination temperature,Destination humidity,Destination cloudiness,Destination wind speed,Destination current description
MID,MIA,AA,4566,Licenciado Manuel Crescencio Rejon Int Airport,Mérida,86.0,30,20,16.11,few clouds,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
MTY,MIA,AA,4741,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
MEX,PHL,AA,496,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Philadelphia International Airport,Tinicum Township,56.16,43,75,8.05,broken clouds
MEX,PHX,AA,502,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Phoenix Sky Harbor International Airport,Phoenix,57.52,82,100,18.41,light rain
MEX,MIA,AA,505,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
SLP,DFW,AA,5781,Ponciano Arriaga International Airport,San Luis Potosí City,80.6,8,40,10.36,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
SLP,DFW,AA,5872,Ponciano Arriaga International Airport,San Luis Potosí City,80.6,8,40,10.36,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
GDL,DFW,AA,5891,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
GDL,PHX,AA,5902,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Phoenix Sky Harbor International Airport,Phoenix,57.52,82,100,18.41,light rain
MEX,LAX,AA,816,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Los Angeles International Airport,Los Angeles,59.95,63,40,13.8,scattered clouds
MEX,CLT,AA,828,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Charlotte Douglas International Airport,Charlotte,58.71,35,75,4.61,broken clouds
MEX,CLT,AA,843,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Charlotte Douglas International Airport,Charlotte,58.71,35,75,4.61,broken clouds
CUN,CLT,AA,884,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Charlotte Douglas International Airport,Charlotte,58.71,35,75,4.61,broken clouds
CUN,CLT,AA,886,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Charlotte Douglas International Airport,Charlotte,58.71,35,75,4.61,broken clouds
MEX,YYZ,AC,1981,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Lester B. Pearson International Airport,Mississauga,45.23,71,75,16.11,broken clouds
MEX,YYZ,AC,1983,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Lester B. Pearson International Airport,Mississauga,45.23,71,75,16.11,broken clouds
GDL,IAH,AC,5657,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,George Bush Intercontinental Houston Airport,Houston,76.21,71,100,14.97,overcast clouds
MEX,YVR,AC,997,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Vancouver International Airport,Richmond,48.0,77,75,16.11,broken clouds
MEX,CDG,AF,179,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Charles de Gaulle International Airport,Mauregard,53.65,86,75,17.27,broken clouds
MEX,GDL,AF,3392,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
CJS,MEX,AF,3393,Abraham González International Airport,Ciudad Juárez,56.16,39,40,9.22,scattered clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,PVR,AF,3396,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,82.4,54,20,12.66,few clouds
MEX,GDL,AF,3399,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky
PVR,MEX,AF,3412,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,82.4,54,20,12.66,few clouds,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky
MEX,ZCL,AF,3439,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,General Leobardo C. Ruiz International Airport,Morelos,74.44,13,20,16.58,few clouds
